seed,mse_3_text_audio_prompt1,mse_7_text_audio_prompt1,mse_15_text_audio_prompt1,mse_30_text_audio_prompt1,avg_mse_text_audio_prompt1,mse_3_volonly,mse_7_volonly,mse_15_volonly,mse_30_volonly,avg_mse_volonly,mse_3_text_only,mse_7_text_only,mse_15_text_only,mse_30_text_only,avg_mse_text_only,mse_3_text_audio_prompt2,mse_7_text_audio_prompt2,mse_15_text_audio_prompt2,mse_30_text_audio_prompt2,avg_mse_text_audio_prompt2,mse_3_audio_only,mse_7_audio_only,mse_15_audio_only,mse_30_audio_only,avg_mse_audio_only,mse_3_chunk_text_audio,mse_7_chunk_text_audio,mse_15_chunk_text_audio,mse_30_chunk_text_audio,avg_mse_chunk_text_audio,mse_3_random_nonqa,mse_7_random_nonqa,mse_15_random_nonqa,mse_30_random_nonqa,avg_mse_random_nonqa
1,0.3185791671276092,0.1796625405550003,0.1915319412946701,0.1245725899934768,0.2035865597426891,0.3277420699596405,0.1943886876106262,0.2179516404867172,0.1490008383989334,0.2222708091139793,0.318552166223526,0.1795758157968521,0.1913679391145706,0.1243810951709747,0.2034692540764808,0.3185890913009643,0.1796410679817199,0.1915029734373092,0.1245566084980964,0.2035724353045225,0.3183833062648773,0.1792304068803787,0.1906512081623077,0.1240262016654014,0.2030727807432413,0.3189623653888702,0.1806606352329254,0.1927160769701004,0.1266217082738876,0.2047401964664459,0.3184933960437774,0.1794512867927551,0.1911412328481674,0.1242903172969818,0.2033440582454204
3,0.3283265829086303,0.1869117170572281,0.2090814262628555,0.142029196023941,0.2165872305631637,0.3417520821094513,0.2085395455360412,0.247902974486351,0.1757800281047821,0.2434936575591564,0.3287549912929535,0.1876547783613205,0.2105762511491775,0.1432622671127319,0.2175620719790458,0.3282655477523803,0.1868230551481247,0.2089594900608062,0.1419111043214798,0.2164897993206977,0.3284101188182831,0.1870960444211959,0.209465742111206,0.1423447132110595,0.2168291546404361,0.3302523493766784,0.1902278959751129,0.2158761769533157,0.1472246199846267,0.2208952605724334,0.3290625214576721,0.1880975365638733,0.2114070653915405,0.1439097672700882,0.2181192226707935
5,0.3196718394756317,0.1822001636028289,0.1866460591554641,0.1231360286474227,0.2029135227203369,0.332046240568161,0.2021870017051696,0.2229515016078949,0.1498913615942001,0.2267690263688564,0.3197145462036133,0.1823298931121826,0.1868626773357391,0.123349629342556,0.2030641864985227,0.3197323977947235,0.1823162287473678,0.1868987679481506,0.1233489289879798,0.2030740808695554,0.3197825253009796,0.1824488490819931,0.1872027814388275,0.1235645562410354,0.2032496780157089,0.3207539618015289,0.1849037706851959,0.1903308928012848,0.125624194741249,0.2054032050073146,0.3197598457336426,0.1822964251041412,0.1869381368160247,0.1233601942658424,0.2030886504799127
6,0.3267705142498016,0.1792542338371276,0.2068119943141937,0.1577692776918411,0.217651505023241,0.3386563956737518,0.1894623339176178,0.2328356951475143,0.1881697177886963,0.237281035631895,0.3269633650779724,0.1795065253973007,0.207767978310585,0.1585223376750946,0.2181900516152382,0.3268938660621643,0.1794049888849258,0.2072549611330032,0.1581736952066421,0.2179318778216838,0.3267242014408111,0.1792147755622863,0.2068549245595932,0.1577173024415969,0.2176278010010719,0.3273807466030121,0.1800076067447662,0.2077703177928924,0.1605354100465774,0.218923520296812,0.3279876112937927,0.1805087178945541,0.2106243520975113,0.1615225970745086,0.2201608195900917
9,0.3310754895210266,0.1752887219190597,0.1991887390613556,0.1313901096582412,0.2092357650399208,0.3524567782878876,0.1936648786067962,0.2438738197088241,0.1656932085752487,0.2389221712946891,0.3318497836589813,0.17601078748703,0.2009042352437973,0.1326518207788467,0.2103541567921638,0.3308624029159546,0.1751081794500351,0.1987455934286117,0.1310068368911743,0.2089307531714439,0.3308428227901459,0.1750630587339401,0.1984437108039856,0.1308626383543014,0.2088030576705932,0.332964688539505,0.1765883415937423,0.2047809064388275,0.1336813420057296,0.2120038196444511,0.3315011262893677,0.1757179647684097,0.2002729177474975,0.132187157869339,0.2099197916686535
11,0.3178786039352417,0.1730921864509582,0.1673964411020279,0.1398985236883163,0.199566438794136,0.3273219466209411,0.1864496022462844,0.1912367641925811,0.166063979268074,0.2177680730819702,0.3175617754459381,0.1726861149072647,0.1666346788406372,0.1390311568975448,0.1989784315228462,0.3176543116569519,0.1728022247552871,0.1667510420083999,0.1392354667186737,0.1991107612848281,0.3176968991756439,0.1728926002979278,0.1670044511556625,0.139514684677124,0.1992771588265895,0.3198374211788177,0.1756686121225357,0.1727619916200637,0.1448375880718231,0.2032764032483101,0.3175624310970306,0.1726512610912323,0.1664218157529831,0.1388978511095047,0.1988833397626876
13,0.3140468299388885,0.1698738634586334,0.1803907603025436,0.1201701313257217,0.1961203962564468,0.3197060525417328,0.1796194016933441,0.2034889161586761,0.135835975408554,0.2096625864505767,0.3140759766101837,0.169874906539917,0.1803632974624633,0.1201634779572486,0.1961194146424532,0.3139932751655578,0.1698177009820938,0.1802259981632232,0.1200892701745033,0.1960315611213445,0.3178997039794922,0.1726550012826919,0.1852370053529739,0.1227470636367797,0.1996346935629844,0.3145679831504822,0.1701528578996658,0.1826914697885513,0.1219896897673606,0.197350500151515,0.314075618982315,0.1698911935091018,0.180425077676773,0.1201593279838562,0.1961378045380115
14,0.3349239230155945,0.187099814414978,0.2019311338663101,0.1346650570631027,0.2146549820899963,0.3532964289188385,0.2093168199062347,0.2379180043935775,0.1637035608291626,0.2410587035119533,0.3347557485103607,0.1869018524885177,0.2016199082136154,0.1344349384307861,0.21442811191082,0.3344929814338684,0.1865516453981399,0.2009832561016082,0.133897602558136,0.2139813713729381,0.3343328833580017,0.1864895075559616,0.2009011059999466,0.133870854973793,0.2138985879719257,0.3362464606761932,0.1887489557266235,0.2045675665140152,0.1353920400142669,0.2162387557327747,0.3349784910678863,0.1871877461671829,0.2021117955446243,0.1347825229167938,0.2147651389241218
15,0.3280919790267944,0.1884037852287292,0.2274808138608932,0.160131573677063,0.2260270379483699,0.3469861149787903,0.2126541435718536,0.2848384976387024,0.2079644501209259,0.263110801577568,0.3281140923500061,0.1885569393634796,0.2279738634824752,0.1605201810598373,0.2262912690639495,0.3282073438167572,0.1885721683502197,0.2279665470123291,0.1605294346809387,0.2263188734650612,0.3278093039989471,0.1879862993955612,0.2265062630176544,0.1593763828277588,0.2254195623099804,0.3292974829673767,0.1903048157691955,0.2329837530851364,0.1642504036426544,0.2292091138660907,0.3280061483383178,0.1883366703987121,0.227432906627655,0.1601073145866394,0.2259707599878311
17,0.3312335908412933,0.1853336989879608,0.2094048857688903,0.1603604108095169,0.2215831466019153,0.3533154129981994,0.2129460275173187,0.2611204981803894,0.2087582647800445,0.259035050868988,0.3312427997589111,0.1852202266454696,0.2091865688562393,0.1601232290267944,0.2214432060718536,0.3313209414482116,0.1854276657104492,0.2096843421459198,0.1605851352214813,0.2217545211315155,0.3313916325569153,0.1855384260416031,0.2099302858114242,0.1607734858989715,0.2219084575772285,0.3344254493713379,0.1890691816806793,0.2191523760557174,0.1678779274225235,0.2276312336325645,0.3310516476631164,0.1850205808877945,0.208802580833435,0.1597658097743988,0.2211601547896862
18,0.3209049999713897,0.1721365302801132,0.1707256883382797,0.1354614198207855,0.199807159602642,0.3315928876399994,0.183193176984787,0.1969048678874969,0.161983847618103,0.2184186950325966,0.3209165334701538,0.1721519380807876,0.1707915216684341,0.1355350017547607,0.1998487487435341,0.320891410112381,0.1721330732107162,0.1707195490598678,0.1354508697986602,0.1997987255454063,0.3210619688034057,0.1722929924726486,0.171180173754692,0.1359085589647293,0.2001109234988689,0.3218907415866852,0.1730780750513076,0.1731852442026138,0.1377653330564499,0.2014798484742641,0.3208848536014557,0.1721126437187194,0.1706604659557342,0.135376363992691,0.1997585818171501
19,0.3155356347560882,0.1736542284488678,0.1991428583860397,0.1315962821245193,0.2049822509288787,0.3223435878753662,0.1867895573377609,0.2295527309179306,0.1565858572721481,0.2238179333508014,0.3155533969402313,0.1735662221908569,0.1988466531038284,0.1313650161027908,0.2048328220844268,0.315648078918457,0.1738986223936081,0.199883371591568,0.1321531236171722,0.2053957991302013,0.3155688643455505,0.1737227290868759,0.1994796395301818,0.1319013833999633,0.2051681540906429,0.3164474964141845,0.1762171387672424,0.2054824382066726,0.1359385401010513,0.2085214033722877,0.3155533671379089,0.1736293286085128,0.199037417769432,0.1315438151359558,0.2049409821629524
21,0.3198138475418091,0.181037500500679,0.1973626911640167,0.1420311033725738,0.2100612856447696,0.3298069536685943,0.1985229700803756,0.2263785451650619,0.1688153743743896,0.2308809608221054,0.3198830187320709,0.1811595857143402,0.1976634711027145,0.1422983407974243,0.2102511040866375,0.319828063249588,0.1810802519321441,0.1974601000547409,0.1421212255954742,0.2101224102079868,0.3198219239711761,0.1810979545116424,0.1975278854370117,0.1421872824430465,0.2101587615907192,0.3203078806400299,0.1819221377372741,0.1998967826366424,0.1430022865533828,0.2112822718918323,0.3198119699954986,0.1810481697320938,0.19743512570858,0.1421474516391754,0.2101106792688369
23,0.3337612748146057,0.1936633735895156,0.2379176765680313,0.1637700498104095,0.2322780936956405,0.3531615734100342,0.217133343219757,0.2882962226867676,0.2054275125265121,0.2660046629607677,0.3339128792285919,0.1938961893320083,0.2385140061378479,0.1642026156187057,0.2326314225792884,0.3337382972240448,0.1936526298522949,0.2378711700439453,0.1636990904808044,0.2322402969002723,0.3339116275310516,0.1937442570924759,0.2380934804677963,0.1640071421861648,0.2324391268193721,0.3350540101528168,0.1950559318065643,0.2410885989665985,0.1648621410131454,0.2340151704847812,0.3344945609569549,0.1945962309837341,0.2402610182762146,0.1655970066785812,0.2337372042238712
24,0.3270232081413269,0.1849887520074844,0.1997884511947631,0.1497898250818252,0.2153975591063499,0.3378883004188537,0.1983458250761032,0.2312905490398407,0.1780876070261001,0.2364030703902244,0.3270286023616791,0.1850107014179229,0.1999011784791946,0.149919256567955,0.2154649347066879,0.326943576335907,0.184900477528572,0.1995097249746322,0.1495427787303924,0.2152241393923759,0.3268941342830658,0.1848491430282592,0.1994081437587738,0.1494420021772384,0.2151483558118343,0.3294107615947723,0.1867908388376236,0.2029435038566589,0.1523621082305908,0.2178768031299114,0.3269839286804199,0.1849171221256256,0.199662446975708,0.1496939212083816,0.2153143547475338
26,0.338062584400177,0.1893235743045807,0.1740131825208664,0.1242215856909751,0.2064052317291498,0.3434886038303375,0.1971384286880493,0.1761801391839981,0.1352234631776809,0.2130076587200164,0.3270895183086395,0.1837104856967926,0.1840739846229553,0.1302143931388855,0.2062720954418182,0.3351190388202667,0.1895444393157959,0.1724654287099838,0.124523751437664,0.2054131645709276,0.3458589017391205,0.2014747709035873,0.1885481178760528,0.1347026526927948,0.2176461108028888,0.3818399310111999,0.2186187803745269,0.2298534661531448,0.1518657505512237,0.2455444820225238,0.3370423913002014,0.1909624636173248,0.1727797985076904,0.1292242407798767,0.2075022235512733
